代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
MMM,3M,Industrials,169.55,87.44,30.12,1.58,81.89,2.5,186.0,-2.01
AOS,A. O. Smith,Industrials,58.65,7.97,16.34,1.36,27.13,-0.7,250.0,-2.67
ABT,Abbott Laboratories,Health Care,101.29,175.27,32.78,1.85,10.58,13.0,249.0,-5.34
ABBV,AbbVie,Health Care,264.34,467.12,74.46,0.54,,10.2,261.0,2.84
ACN,Accenture,Information Technology,176.11,107.77,14.06,1.29,24.41,5.6,368.0,0.45
ADBE,Adobe Inc.,Information Technology,235.47,93.6,13.14,0.58,61.9,12.9,0.0,-8.53
AMD,Advanced Micro Devices,Information Technology,630.63,1029.49,161.7,0.64,10.2,50.1,0.0,24.95
AES,AES Corporation,Utilities,14.87,10.6,5.57,0.81,9.57,19.9,474.0,0.87
AFL,Aflac,Financials,113.72,57.01,12.27,1.18,16.91,-1.0,214.0,-4.98
A,Agilent Technologies,Health Care,172.79,48.71,34.15,1.43,20.97,8.1,59.0,16.16
APD,Air Products,Materials,281.76,62.74,,2.05,0.02,4.6,254.0,-5.33
ABNB,Airbnb,Consumer Discretionary,157.47,92.84,35.95,1.44,34.54,16.5,0.0,-6.27
AKAM,Akamai Technologies,Information Technology,113.94,16.38,41.28,1.34,8.92,5.4,0.0,0.59
ALB,Albemarle Corporation,Materials,109.73,12.95,406.41,0.79,2.65,31.1,152.0,-11.32
ARE,Alexandria Real Estate Equities,Real Estate,49.93,8.59,,3.24,-4.08,-11.9,571.0,-2.47
ALGN,Align Technology,Health Care,146.78,10.43,25.44,0.61,10.15,4.3,0.0,-10.0
ALLE,Allegion,Industrials,154.47,13.14,20.25,2.02,33.73,12.7,144.0,-1.3
LNT,Alliant Energy,Utilities,63.6,16.49,20.13,1.95,11.13,1.0,338.0,-7.87
ALL,Allstate,Financials,227.6,57.55,4.56,1.67,46.11,11.8,190.0,-11.01
GOOGL,Alphabet Inc. (Class A),Communication Services,343.92,4206.12,17.26,1.22,48.68,24.2,26.0,-0.06
GOOG,Alphabet Inc. (Class C),Communication Services,341.08,4171.39,17.11,1.21,48.68,24.2,26.0,-0.22
MO,Altria,Consumer Staples,68.82,114.91,14.49,2.64,,1.2,645.0,1.09
AMZN,Amazon,Consumer Discretionary,249.67,2693.02,20.1,1.48,30.56,19.6,0.0,-2.54
AMCR,Amcor,Materials,42.51,19.65,17.86,0.96,9.4,25.9,618.0,-4.77
AEE,Ameren,Utilities,99.39,27.52,17.5,2.44,11.94,-6.2,302.0,-6.82
AEP,American Electric Power,Utilities,118.35,64.43,20.51,1.99,10.13,7.0,323.0,-5.21
AXP,American Express,Financials,308.89,208.6,18.74,1.23,34.38,12.8,124.0,-6.96
AIG,American International Group,Financials,74.17,38.78,13.53,0.63,7.22,0.5,267.0,-3.22
AMT,American Tower,Real Estate,169.03,78.76,23.22,1.58,33.91,4.7,428.0,-2.33
AWK,American Water Works,Utilities,130.91,26.02,22.69,2.33,10.1,6.2,272.0,-3.71
AMP,Ameriprise Financial,Financials,493.0,43.55,11.91,1.36,63.43,11.6,140.0,-9.75
AME,Ametek,Industrials,250.74,57.48,36.66,2.81,14.56,15.0,55.0,3.49
AMGN,Amgen,Health Care,414.61,224.15,25.72,2.45,91.47,9.5,248.0,2.74
APH,Amphenol,Information Technology,84.09,207.36,42.05,0.95,38.12,55.0,60.0,4.77
ADI,Analog Devices,Information Technology,393.6,190.72,46.75,0.57,12.23,39.6,115.0,5.68
AON,Aon plc,Financials,277.99,58.97,15.32,2.17,44.7,2.2,119.0,-17.63
APA,APA Corporation,Energy,42.74,14.97,9.02,1.18,26.66,9.2,229.0,4.57
APO,Apollo Global Management,Financials,121.69,71.86,43.31,0.45,11.41,63.8,186.0,-5.44
AAPL,Apple Inc.,Information Technology,341.07,4977.64,39.07,2.7,148.75,16.4,32.0,6.01
AMAT,Applied Materials,Information Technology,485.0,384.89,41.92,0.94,41.07,24.8,45.0,-1.02
APP,AppLovin,Communication Services,310.75,104.39,23.9,0.68,203.69,52.8,0.0,-9.51
APTV,Aptiv,Consumer Discretionary,44.79,9.3,21.03,0.95,5.16,2.3,0.0,-8.71
ACGL,Arch Capital Group,Financials,94.66,32.3,7.41,1.05,19.94,-10.5,0.0,-4.24
ADM,Archer Daniels Midland,Consumer Staples,81.12,39.1,22.16,1.01,7.64,7.2,254.0,-1.43
ARES,Ares Management,Financials,122.01,27.75,55.71,0.89,14.94,5.8,450.0,-7.89
ANET,Arista Networks,Information Technology,206.55,260.51,65.57,1.54,31.48,37.7,0.0,8.58
AJG,Arthur J. Gallagher & Co.,Financials,231.1,59.24,38.26,0.67,6.72,30.9,123.0,-7.99
AIZ,Assurant,Financials,265.0,13.07,12.68,2.16,18.34,9.4,134.0,-5.6
T,AT&T,Communication Services,25.38,173.91,8.38,1.54,18.34,2.3,436.0,2.51
ATO,Atmos Energy,Utilities,157.21,26.57,18.76,1.89,9.79,4.8,256.0,-6.56
ADSK,Autodesk,Information Technology,209.4,43.76,27.09,0.81,53.85,16.1,0.0,-10.39
ADP,Automatic Data Processing,Industrials,263.67,104.75,24.08,2.44,72.24,6.8,258.0,-1.91
AZO,AutoZone,Consumer Discretionary,2872.16,46.45,19.77,1.29,,5.6,0.0,-3.56
AVY,Avery Dennison,Materials,170.34,12.91,18.64,1.92,31.16,10.9,237.0,-0.86
AXON,Axon Enterprise,Industrials,430.11,34.94,179.21,2.04,6.22,35.3,0.0,-20.11
BKR,Baker Hughes,Energy,57.83,57.41,18.59,1.6,16.46,-2.4,161.0,-4.52
BALL,Ball Corporation,Materials,56.83,15.04,16.28,0.95,17.15,19.7,141.0,-8.64
BAC,Bank of America,Financials,56.7,396.49,13.09,0.85,11.2,16.8,228.0,-7.53
BAX,Baxter International,Health Care,23.37,12.08,,36.68,-14.37,5.3,17.0,-6.86
BDX,Becton Dickinson,Health Care,183.82,50.07,31.86,1.11,6.61,5.4,234.0,3.98
BRK-B,Berkshire Hathaway,Financials,505.48,1082.09,12.71,10.06,12.12,10.0,0.0,-0.16
BBY,Best Buy,Consumer Discretionary,90.51,18.98,15.06,1.7,43.13,3.6,422.0,4.59
TECH,Bio-Techne,Health Care,72.61,11.39,62.59,2.11,9.03,1.3,44.0,0.62
